Title,Genres,Release Date,Release Year,Release Month,Release Country,Movie Rating,Review Rating,Movie Run Time,Language
Maya (2015), Horror| Thriller,17-Sep-15,2015,Sep,India,,7.8,141 min,Tamil
Una Comedia Macabra (2017), Comedy| Horror,21-Sep-17,2017,Sep,Peru,,1.0,91 min,Spanish
Alamet-i Kiyamet (2016), Horror,20-May-16,2016,May,Turkey,,7.0,88 min,Turkish
The Shelter (2015), Drama| Horror| Thriller,28-Aug-15,2015,Aug,UK,,3.8,76 min,English
Dead Nude Girls (2013), Horror,15-May-13,2013,May,Canada,,6.8,,English
Raaz 3: The Third Dimension (2012), Horror| Mystery| Romance| Thriller,7-Sep-12,2012,Sep,India,R,4.0,139 min,Hindi
Desolation (2017), Drama| Horror| Thriller,21-Jun-17,2017,Jun,USA,,7.5,78 min,English
Tales of Poe (2014), Fantasy| Horror| Thriller,1-Aug-14,2014,Aug,USA,,6.8,120 min,English
3 A.M. 3D (2012), Horror,22-Nov-12,2012,Nov,Thailand,,5.5,96 min,Thai
Dabbe: Cin Çarpmasi (2013), Horror,2-Aug-13,2013,Aug,Turkey,,7.1,120 min,Turkish
The Swimmers (2014), Drama| Horror,7-Aug-14,2014,Aug,Thailand,,6.0,115 min,Thai
We All Fall Down (2016), Adventure| Drama| Horror| Sci-Fi| Thriller,12-Aug-16,2016,Aug,USA,,2.7,81 min,English
Mark of Death (2017), Action| Fantasy| Horror| Thriller,21-Oct-17,2017,Oct,USA,UNRATED,,80 min,English
#Slaughterhouse (2017), Action| Horror,1-Jul-17,2017,Jul,USA,,8.2,,English
The Mitchell Tapes (2010), Horror,29-Sep-17,2017,Sep,USA,PG-13,4.9,,English
Hollows Grove (2014), Horror,21-Oct-14,2014,Oct,USA,R,5.0,81 min,English
The Last House on Cemetery Lane (2015), Horror,17-Feb-15,2015,Feb,USA,NOT RATED,3.5,82 min,
Exorcism: Haunted Child (2015), Drama| Horror,8-May-15,2015,May,Vietnam,,6.6,90 min,Vietnamese
Shark Week (2012), Action| Horror| Sci-Fi,4-Aug-12,2012,Aug,USA,TV-14,2.4,89 min,English
11-12-13 Rak Kan Ja Tai (2016), Comedy| Horror,31-Mar-16,2016,Mar,Thailand,,6.2,,Thai
Chupacabra Territory (2016), Horror,1-Mar-16,2016,Mar,USA,,6.8,90 min,
6-5=2 (2013), Horror| Thriller,29-Nov-13,2013,Nov,India,,6.3,105 min,Kannada
Dearest Sister (2016), Drama| Horror,21-Apr-17,2017,Apr,Estonia,,6.2,101 min,Lao|Estonian|English|Thai
The Oregonian (2011), Horror| Mystery| Thriller,8-Jun-12,2012,Jun,USA,NOT RATED,4.2,81 min,English
Alarmed (2014), Horror| Thriller,2014,2014,Jan,USA,,3.4,90 min,English
Sisters of the Plague (2015), Drama| Horror| Mystery| Sci-Fi,2016,2016,Jan,USA,,3.0,80 min,English
Inside the Whore (2012), Horror,3-Oct-12,2012,Oct,Norway,NOT RATED,2.1,,Norwegian|English
From Jennifer (2017), Comedy| Horror| Thriller,26-Sep-17,2017,Sep,USA,TV-MA,7.4,85 min,English
The Summoning (2014), Horror,13-Oct-14,2014,Oct,USA,TV-MA,3.2,88 min,English
Beg (2011), Horror,2014,2014,Jan,USA,,5.3,,English
Bag Boy Lover Boy (2014), Comedy| Horror,3-Oct-14,2014,Oct,USA,,6.1,77 min,English
Potent Media's Sugar Skull Girls (2016), Comedy| Horror,1-Oct-16,2016,Oct,USA,,2.8,70 min,English
Chasing the Devil (2014), Horror,7-Mar-14,2014,Mar,USA,NOT RATED,5.0,84 min,English
Nine Miles Down (2009), Horror| Mystery| Sci-Fi| Thriller,28-Jun-12,2012,Jun,South Korea,NOT RATED,5.5,86 min,English
The Black Gloves (2017), Horror,28-Oct-17,2017,Oct,UK,,6.9,80 min,English
Bloodline (2013), Horror,27-Sep-13,2013,Sep,USA,R,3.8,88 min,English
Raptor Ranch (2013), Action| Adventure| Horror| Sci-Fi,31-Oct-13,2013,Oct,USA,,3.0,90 min,English
The Museum Project (2016), Horror| Mystery,31-May-16,2016,May,Australia,,5.5,45 min,English
Legacy of Thorn (2016), Action| Horror,29-Feb-16,2016,Feb,UK,,5.0,97 min,English
Baby Blues (2013), Horror,2-Sep-14,2014,Sep,USA,NOT RATED,3.8,92 min,Chinese
Death's Door (2015), Horror,29-Sep-15,2015,Sep,USA,,5.3,91 min,English
Scary Tales: Last Stop (2015), Horror,28-Mar-15,2015,Mar,USA,,5.4,82 min,English
Badlands of Kain (2016), Horror| Mystery| Thriller,5-Apr-16,2016,Apr,USA,TV-14,5.6,108 min,English
La cueva (2014), Horror,11-Jul-14,2014,Jul,Spain,NOT RATED,5.7,80 min,Spanish
What Lies Beyond... The Beginning (2014), Comedy| Horror,7-Nov-14,2014,Nov,USA,,4.8,90 min,English
The Bates Haunting (2012), Horror| Thriller,5-Mar-14,2014,Mar,Philippines,NOT RATED,3.2,76 min,English
Take Me Home (2016), Horror,13-Apr-16,2016,Apr,Thailand,,5.7,94 min,Thai
The Kiss of a Killer (2013), Horror| Mystery| Thriller,3-Dec-13,2013,Dec,USA,R,4.1,106 min,German|English|Russian
Bong of the Living Dead (2017), Horror,20-Oct-17,2017,Oct,USA,,9.4,,English
6 Degrees of Hell (2012), Horror,30-Sep-13,2013,Sep,UK,NOT RATED,2.6,90 min,English
Slice 2 (2011), Comedy| Horror,10-Jul-15,2015,Jul,USA,,,,English
The Thirteenth (2017), Horror,15-May-17,2017,May,UK,,9.4,72 min,English
Lipstick (2013), Horror,2-Nov-13,2013,Nov,Japan,NOT RATED,3.8,70 min,Japanese
ThanksKilling 3 (2012), Comedy| Horror,13-Nov-12,2012,Nov,USA,NOT RATED,3.2,99 min,English
Vile Prey (2016), Horror,31-Oct-16,2016,Oct,USA,,8.8,,English
Black Eve (2010), Horror,7-Oct-14,2014,Oct,Canada,UNRATED,4.1,78 min,English
Chemical Peel (2014), Horror| Thriller,14-Oct-14,2014,Oct,USA,R,5.7,95 min,English
She Rises (2016), Horror,10-Oct-17,2017,Oct,USA,,6.6,90 min,English
Zero (2016), Fantasy| Horror| Mystery| Romance,25-Mar-16,2016,Mar,India,,6.6,159 min,Tamil
Stab 7 (2017), Horror,31-Oct-17,2017,Oct,USA,,,,English
Siccin 3: Cürmü Ask (2016), Horror,2-Sep-16,2016,Sep,Turkey,,7.4,,Turkish
Inner Demon (2014), Horror| Thriller,21-Apr-17,2017,Apr,USA,,4.7,84 min,English
Community (2012), Horror,5-Oct-12,2012,Oct,USA,,4.3,78 min,English
Ju-on: The Final Curse (2015), Horror,20-Jun-15,2015,Jun,Japan,NOT RATED,4.5,90 min,Japanese
I Am a Ghost (2012), Drama| Horror| Thriller,1-Mar-14,2014,Mar,USA,,6.1,76 min,English
The Blind King (2016), Horror,14-Oct-16,2016,Oct,Italy,NOT RATED,3.1,90 min,English
Another (2012), Horror| Mystery,4-Aug-12,2012,Aug,Japan,,6.0,109 min,Japanese
Convention of the Dead (2016), Action| Comedy| Horror,2016,2016,Jan,UK,,8.5,78 min,English
War of the Dead (2011), Action| Adventure| Horror| Sci-Fi| Thriller| War,4-May-12,2012,May,Finland,NOT RATED,4.1,86 min,English
The Temple II Birth into Dakness Full movie (2016), Action| Fantasy| Horror| Thriller,1-Oct-16,2016,Oct,USA,,5.3,51 min,English
Goal of the Dead (2014), Comedy| Horror,27-Feb-14,2014,Feb,France,,5.6,140 min,French
1974: La posesión de Altair (2016), Horror| Mystery,7-Apr-17,2017,Apr,Mexico,,5.7,82 min,Spanish
Badder Ben: The Final Chapter (2017), Horror,2017,2017,Jan,USA,,,85 min,English
Bleeding Hearts (2015), Horror,3-Feb-15,2015,Feb,USA,NOT RATED,4.3,100 min,English
Rise of the Dinosaurs (2013), Action| Horror| Sci-Fi,10-Mar-16,2016,Mar,South Korea,R,2.3,83 min,English
Witchcraft 14: Angel of Death (2016), Horror,1-Jan-17,2017,Jan,USA,,3.3,81 min,English
ZK: Elephant's Graveyard (2015), Horror,11-Feb-16,2016,Feb,Germany,NOT RATED,2.8,104 min,English
Unwanted (2017), Horror,9-Jan-17,2017,Jan,USA,,3.7,73 min,English
Summer of Blood (2014), Comedy| Horror,17-Apr-14,2014,Apr,USA,UNRATED,5.4,86 min,English
Close Calls (2017), Horror| Thriller,2017,2017,Jan,USA,,,,English
Silent Retreat (2013), Horror| Mystery| Thriller,23-Jun-15,2015,Jun,USA,NOT RATED,4.2,95 min,English
Camp Massacre (2014), Comedy| Horror,12-Apr-14,2014,Apr,USA,NOT RATED,4.0,130 min,English
Seizure (2016), Horror,11-Apr-17,2017,Apr,USA,,5.9,86 min,English
Silent But Deadly (2012), Comedy| Horror,14-Feb-14,2014,Feb,USA,NOT RATED,5.9,99 min,English
Night Claws (2012), Horror,11-Dec-12,2012,Dec,USA,NOT RATED,2.5,83 min,English
Hack House (2017), Horror,14-Jun-17,2017,Jun,USA,,4.5,75 min,English
Dead Shadows (2012), Horror| Sci-Fi,2012,2012,Jan,France,NOT RATED,3.8,75 min,French
Wasteland (2013), Drama| Horror,1-Sep-15,2015,Sep,USA,NOT RATED,3.3,92 min,English
Club Lingerie (2014), Comedy| Horror| Mystery,31-Oct-14,2014,Oct,USA,NOT RATED,4.7,82 min,
Cut! (2014), Horror| Mystery| Thriller,1-Feb-14,2014,Feb,USA,,6.4,101 min,English
Black Wake (2017), Horror| Sci-Fi| Thriller,2017,2017,Jan,USA,,,,English
100 Ghost Street: The Return of Richard Speck (2012), Horror,24-Jul-12,2012,Jul,USA,R,4.0,84 min,English
Beaster Day: Here Comes Peter Cottonhell (2014), Comedy| Horror,1-Apr-14,2014,Apr,USA,,3.8,87 min,English
Aranmanai 2 (2016), Comedy| Horror,29-Jan-16,2016,Jan,India,,4.2,136 min,Tamil
You Are Not Alone (2014), Horror| Thriller,22-Jun-14,2014,Jun,USA,,4.4,96 min,English
Battleground (2012), Action| Horror| Thriller,2012,2012,Jan,Canada,,4.3,85 min,English
Fetish Factory (2017), Comedy| Horror| Sci-Fi| Thriller,2017,2017,Jan,USA,,,71 min,English
The Crescent (2017), Horror| Mystery,7-Sep-17,2017,Sep,Canada,,6.7,99 min,English
The Wicked One (2017), Horror| Thriller,23-Apr-17,2017,Apr,USA,,5.3,91 min,English
The Trap (2015), Comedy| Horror,18-Dec-15,2015,Dec,UK,,5.8,90 min,English
Caught (2017), Horror,1-Feb-17,2017,Feb,USA,,7.8,,
Killer Toon (2013), Crime| Horror| Thriller,27-Jun-13,2013,Jun,South Korea,,6.4,104 min,Korean
Tar (2017), Horror,2017,2017,Jan,USA,,,,English
Valley of Ditches (2017), Crime| Drama| Horror| Mystery| Thriller,21-Mar-17,2017,Mar,USA,,4.0,77 min,English
Bloodlands (2017), Drama| Horror| Thriller,25-Feb-17,2017,Feb,UK,,6.4,82 min,Albanian|Albanian
We're Not Alone (2015), Action| Comedy| Horror| Thriller,2015,2015,Jan,USA,,6.2,87 min,English
Vampire Boys 2: The New Brood (2013), Horror,29-Jan-13,2013,Jan,USA,NOT RATED,2.1,75 min,English
Devil's Night (2015), Horror,30-Oct-15,2015,Oct,USA,,7.7,80 min,English
The Last House (2015), Horror,2015,2015,Jan,USA,NOT RATED,3.0,91 min,English
Killer Rack (2015), Comedy| Horror| Musical,2015,2015,Jan,USA,TV-14,6.7,90 min,English
I Know You're in There (2016), Horror| Thriller,20-Oct-16,2016,Oct,USA,,4.4,84 min,English
Trace (2015), Horror,27-Oct-15,2015,Oct,USA,TV-MA,3.4,90 min,English
Violent Shit: The Movie (2015), Horror,17-Jul-15,2015,Jul,South Korea,,2.3,82 min,English
Desecrated (2015), Horror| Thriller,6-Jan-15,2015,Jan,USA,,3.5,106 min,English
7 from Etheria (2017), Horror,2017,2017,Jan,USA,,,95 min,
Frankenpimp's Revenge: The Romeo and Juliet Massacre (2016), Action| Fantasy| Horror| Sci-Fi| Thriller,26-Mar-16,2016,Mar,Canada,,4.0,,English
Conscious (2017), Drama| Horror| Mystery| Sci-Fi| Thriller,31-Oct-17,2017,Oct,Australia,,,70 min,English
Crawl or Die (2014), Horror| Sci-Fi| Thriller,12-Aug-14,2014,Aug,USA,NOT RATED,4.2,90 min,English
Legend of Hell (2012), Action| Horror| Mystery,4-Feb-12,2012,Feb,Germany,,2.5,85 min,English
Camp Killer (2016), Horror,25-May-16,2016,May,USA,,6.2,83 min,English
Strange Blood (2015), Horror,1-Apr-15,2015,Apr,USA,NOT RATED,3.1,80 min,English
Live Evil (2015), Horror,17-Oct-15,2015,Oct,USA,,3.6,95 min,English
Edge of Insanity (2017), Horror,5-Oct-17,2017,Oct,USA,,,,
Patient (2016), Horror| Thriller,16-May-17,2017,May,USA,,5.2,94 min,English
Puti (2013), Drama| Horror| Mystery,18-Sep-13,2013,Sep,Philippines,,4.2,111 min,Filipino|Tagalog
The Faith Community (2017), Horror,10-Oct-17,2017,Oct,USA,,6.9,,English
The Hexecutioners (2015), Horror,11-Jun-16,2016,Jun,USA,NOT RATED,4.2,95 min,English
Psychos (2017), Crime| Drama| Horror| Mystery| Thriller,17-Mar-17,2017,Mar,USA,R,3.5,,English
3 Dead Trick or Treaters (2016), Horror,26-Nov-16,2016,Nov,Canada,,7.9,73 min,English
Bikini Swamp Girl Massacre (2014), Horror,29-Apr-14,2014,Apr,USA,NOT RATED,3.9,83 min,English
The Void (2016), Horror,8-Nov-16,2016,Nov,USA,,4.3,86 min,English
Game of Werewolves (2011), Comedy| Horror,13-Jul-12,2012,Jul,Spain,,6.1,98 min,Spanish
4 Dead Girls: The Soul Taker (2012), Comedy| Horror,18-Aug-12,2012,Aug,USA,TV-MA,2.4,95 min,English
Attack of the Morningside Monster (2014), Horror| Thriller,14-Jan-14,2014,Jan,USA,NOT RATED,4.7,93 min,English
Gutterballs 2: Balls Deep (2015), Horror,2-May-15,2015,May,USA,,7.1,,English
Daddy's Little Girl (2012), Horror| Thriller,2014,2014,Jan,USA,UNRATED,5.8,107 min,English
Delivery: The Beast Within (2013), Horror| Mystery| Thriller,18-Jun-13,2013,Jun,USA,NOT RATED,5.4,84 min,English
Garden of Hedon (2011), Horror| Mystery,26-Apr-12,2012,Apr,USA,,4.9,119 min,English
Toxin (2015), Drama| Horror| Sci-Fi| Thriller,30-Jan-15,2015,Jan,USA,NOT RATED,2.8,77 min,English
Kataka (2017), Horror| Thriller,27-Oct-17,2017,Oct,USA,,8.7,107 min,Kannada|Telugu|Tamil|Malayalam|Marathi|Tulu
The Unseen (2016), Action| Horror| Sci-Fi| Thriller,25-Oct-16,2016,Oct,USA,,6.4,108 min,English
Silent Screams (2015), Horror| Thriller,3-Apr-15,2015,Apr,Argentina,,6.8,73 min,English|Russian
The Forest (2016), Drama| Fantasy| Horror,9-Mar-16,2016,Mar,USA,,6.6,109 min,Thai
Seclusion (2015), Horror| Mystery| Thriller,23-Oct-15,2015,Oct,USA,,3.6,92 min,English
Archivo 253 (2015), Horror,5-Feb-15,2015,Feb,Mexico,,4.0,79 min,Spanish
Haunting of Cellblock 11 (2014), Horror| Thriller,4-Mar-15,2015,Mar,Philippines,R,4.3,85 min,English
Pieces of Talent (2014), Horror| Thriller,2012,2012,Jan,USA,,5.9,95 min,
Dead Sushi (2012), Action| Comedy| Horror,19-Jan-13,2013,Jan,Japan,NOT RATED,5.8,,Japanese
Hold Your Breath (2012), Horror,5-Oct-12,2012,Oct,USA,R,3.2,87 min,English
The Garlock Incident (2012), Horror| Mystery| Thriller,15-Sep-17,2017,Sep,USA,,6.0,78 min,English
Deadly Intent (2016), Drama| Horror| Thriller,11-Apr-16,2016,Apr,UK,,3.7,82 min,English
Massacre on Aisle 12 (2016), Comedy| Horror,5-Nov-16,2016,Nov,USA,NOT RATED,4.4,83 min,
Amityville: Evil Never Dies (2017), Horror,2017,2017,Jan,USA,,,,English
Blood of the Tribades (2016), Fantasy| Horror,20-Jan-17,2017,Jan,USA,,7.0,78 min,English
Taeter City (2012), Action| Horror| Sci-Fi| Thriller,15-Sep-12,2012,Sep,Italy,NOT RATED,5.0,72 min,English
Zomboobies! (2014), Comedy| Horror,2-Mar-14,2014,Mar,USA,,5.9,,Japanese
The Last Witch (2015), Horror,1-Jan-16,2016,Jan,Spain,,6.6,94 min,Spanish
Altar (2014), Horror| Mystery,17-Feb-15,2015,Feb,USA,NOT RATED,5.7,94 min,English
The Emeryville Experiments (2016), Horror| Thriller,20-Aug-16,2016,Aug,USA,,5.4,83 min,English|English
When the Devil Comes (2017), Horror,13-Oct-17,2017,Oct,USA,,5.8,,English
American Mummy (2014), Horror,21-Aug-14,2014,Aug,USA,,2.8,82 min,English
Alone (2015), Horror,16-Jan-15,2015,Jan,India,NOT RATED,3.7,133 min,Hindi
Ju-on: The Beginning of the End (2014), Horror,28-Jun-14,2014,Jun,Japan,NOT RATED,5.3,91 min,Japanese
Rabid Love (2013), Horror| Thriller,19-Apr-13,2013,Apr,USA,NOT RATED,3.3,90 min,English
Deadwood Falls (2017), Drama| Horror| Thriller,31-Oct-17,2017,Oct,USA,,,,English
Hotel Inferno 2: The Cathedral of Pain (2017), Action| Horror,29-Sep-17,2017,Sep,UK,,9.5,70 min,English
All the Devils Are Here (2014), Action| Horror,10-Oct-15,2015,Oct,USA,,6.7,94 min,English
The Levenger Tapes (2013), Horror| Thriller,1-Sep-13,2013,Sep,USA,R,4.4,92 min,English
Star Leaf (2015), Horror| Sci-Fi| Thriller,6-Jun-15,2015,Jun,USA,,3.5,77 min,English
Dizlayk (2016), Comedy| Horror| Thriller,22-Sep-16,2016,Sep,Russia,,2.0,85 min,Russian
Lyle (2014), Drama| Horror,12-Jul-14,2014,Jul,USA,NOT RATED,6.0,65 min,English
The Woman in Unit 23B (2016), Drama| Horror| Romance,15-Oct-16,2016,Oct,Philippines,,6.8,95 min,Filipino|Tagalog
Wither (2012), Horror| Thriller,9-Aug-13,2013,Aug,Sweden,NOT RATED,5.0,95 min,Swedish
Second Origin (2015), Adventure| Horror| Sci-Fi,7-Oct-15,2015,Oct,Spain,,4.5,,Catalan|English
House of Last Things (2013), Fantasy| Horror| Thriller,10-Oct-13,2013,Oct,Ukraine,NOT RATED,6.2,110 min,English
Dead Season (2012), Horror| Sci-Fi,5-Jul-12,2012,Jul,USA,UNRATED,4.8,85 min,English
Lord of Tears (2013), Drama| Horror,25-Oct-13,2013,Oct,UK,,5.5,100 min,English
Our Evil (2017), Drama| Horror| Thriller,14-Sep-17,2017,Sep,Belgium,,7.1,92 min,Portuguese
The Devil in Me (2012), Horror,7-Aug-12,2012,Aug,USA,NOT RATED,4.2,98 min,English|Latin
100 Bloody Acres (2012), Comedy| Horror,1-Aug-13,2013,Aug,Australia,NOT RATED,6.0,91 min,English
Wichita (2016), Drama| Horror| Thriller,2017,2017,Jan,USA,,5.0,85 min,English
Night of the Living Dead 3D: Re-Animation (2012), Action| Horror,16-Oct-12,2012,Oct,USA,R,3.0,,English
Piranha Sharks (2014), Comedy| Horror,8-Aug-14,2014,Aug,USA,NOT RATED,3.5,79 min,English
Vampire Cleanup Department (2017), Action| Comedy| Horror,16-Mar-17,2017,Mar,Hong Kong,,6.3,93 min,Cantonese
Ghost Goggles (2016), Adventure| Family| Horror,14-Feb-16,2016,Feb,USA,,6.4,95 min,English
Stalled (2013), Comedy| Horror,25-Mar-14,2014,Mar,USA,NOT RATED,4.7,84 min,English
Dead End (2014), Horror| Thriller,16-Oct-14,2014,Oct,USA,NOT RATED,7.1,95 min,English
Clown Kill (2016), Horror,1-Jan-17,2017,Jan,USA,,3.6,79 min,English
Ghosthunters (2016), Horror,5-Jul-16,2016,Jul,USA,UNRATED,3.1,90 min,English
Creature (2014), Action| Horror| Sci-Fi,12-Sep-14,2014,Sep,India,,3.2,134 min,Hindi
True Bloodthirst (2012), Action| Horror| Sci-Fi,14-Jul-12,2012,Jul,USA,TV-14,4.1,90 min,English
Ezra (2017), Horror| Mystery| Thriller,10-Feb-17,2017,Feb,India,,6.9,147 min,Malayalam|Tamil|Telugu
Mega Shark vs. Kolossus (2015), Action| Horror| Sci-Fi| Thriller,16-Jul-15,2015,Jul,Germany,NOT RATED,2.8,89 min,English
Living Dark: The Story of Ted the Caver (2013), Horror,2013,2013,Jan,USA,PG-13,5.5,112 min,English
Nilalang (2015), Action| Crime| Horror| Mystery| Thriller,10-Jan-17,2017,Jan,Canada,,8.1,90 min,Filipino|Tagalog|English|Japanese
Inhuman Resources (2012), Horror| Thriller,3-Nov-12,2012,Nov,Japan,R,5.8,93 min,English
Crawlspace (2013), Horror| Thriller,4-Jan-13,2013,Jan,USA,NOT RATED,4.8,90 min,English
Bliss (2017), Drama| Horror| Mystery| Thriller,10-May-17,2017,May,Philippines,,8.3,,Filipino|Tagalog
Decay (2015), Drama| Horror| Thriller,1-Nov-15,2015,Nov,USA,,4.5,98 min,English
Hush (2017), Horror,2017,2017,Jan,UK,,,,
Children of the Night (2014), Horror,2-Feb-14,2014,Feb,Argentina,,5.1,105 min,Spanish
The Child Remains (2017), Horror| Mystery| Thriller,15-Sep-17,2017,Sep,Canada,,5.3,112 min,English
Me and My Mates vs. The Zombie Apocalypse (2015), Comedy| Horror,3-Aug-15,2015,Aug,Australia,NOT RATED,4.8,90 min,English
Breeding Farm (2013), Horror,4-Jan-13,2013,Jan,USA,,3.9,85 min,English
After School Massacre (2014), Comedy| Horror,10-Jan-14,2014,Jan,USA,NOT RATED,3.4,73 min,English
Drink Me (2015), Drama| Horror,14-Apr-15,2015,Apr,USA,NOT RATED,3.9,74 min,English
Ajin Part 1: Shoudou (2015), Animation| Adventure| Horror| Mystery,27-Nov-15,2015,Nov,Japan,,7.9,106 min,Japanese
House of Purgatory (2016), Horror| Thriller,21-Oct-16,2016,Oct,USA,,4.1,75 min,English
Anando Brahma (2017), Horror,17-Aug-17,2017,Aug,India,,7.1,123 min,Telugu
Ritual (2013), Horror,31-Dec-13,2013,Dec,USA,R,3.8,90 min,English
Female Zombie Riot (2016), Comedy| Horror,11-Apr-17,2017,Apr,USA,,2.6,95 min,English
Xtinction: Predator X (2014), Horror| Sci-Fi| Thriller,16-Apr-14,2014,Apr,Belgium,TV-14,2.7,,English
The Occupants (2014), Horror| Thriller,13-Jan-14,2014,Jan,USA,,3.7,79 min,English
Nightmare Code (2014), Horror| Sci-Fi| Thriller,2014,2014,Jan,USA,NOT RATED,5.3,90 min,English
A Suburban Fairytale (2017), Horror,2017,2017,Jan,UK,,,,English
Jurassic Prey (2015), Action| Horror| Sci-Fi,23-Jun-15,2015,Jun,USA,NOT RATED,1.7,87 min,English
Penumbra (2011), Horror| Thriller,2-Feb-12,2012,Feb,Argentina,NOT RATED,5.6,,Spanish
Therapy (2016), Crime| Horror| Thriller,27-Jul-16,2016,Jul,Canada,,5.5,96 min,French
Rape Zombie: Lust of the Dead (2012), Horror,10-Sep-13,2013,Sep,USA,NOT RATED,3.9,73 min,Japanese
The Yearly Harvest (2017), Horror| Mystery,6-Sep-17,2017,Sep,USA,,4.9,120 min,English
Therapy for a Vampire (2014), Comedy| Horror,19-Dec-14,2014,Dec,Austria,UNRATED,6.4,87 min,German
Hollow Creek (2016), Crime| Horror| Mystery| Thriller,1-Feb-16,2016,Feb,USA,,4.1,116 min,English
Aranmanai (2014), Comedy| Horror,19-Sep-14,2014,Sep,India,,5.2,160 min,Tamil
House of Salem (2016), Horror,27-Aug-16,2016,Aug,UK,,5.3,100 min,English
Crowsnest (2012), Horror| Mystery| Thriller,7-Sep-12,2012,Sep,USA,R,3.8,84 min,English
Hypothermia (2010), Horror,2-Oct-12,2012,Oct,USA,NOT RATED,4.0,73 min,English
Night of the Living Dead: Genesis (2017), Horror,2017,2017,Jan,USA,,,,English
Hangar 10 (2014), Horror| Sci-Fi| Thriller,7-Nov-14,2014,Nov,USA,UNRATED,3.6,83 min,English
The Circle (2017), Drama| Horror| Thriller,2017,2017,Jan,UK,,,93 min,English
Tear Me Apart (2015), Horror| Romance| Thriller,31-Oct-15,2015,Oct,USA,TV-MA,4.7,86 min,English
Parasites (2016), Action| Horror| Thriller,24-Jan-17,2017,Jan,USA,,3.9,81 min,English
Dark Exorcism (2015), Drama| Horror| Mystery| Thriller,1-Oct-15,2015,Oct,USA,NOT RATED,4.3,81 min,English
Dangerous to Know (2017), Horror| Thriller,2017,2017,Jan,Canada,,,,English
Blood Shot (2013), Action| Comedy| Horror,29-Oct-13,2013,Oct,Canada,,3.3,96 min,English
Repentance (2013), Drama| Horror| Thriller,25-Sep-14,2014,Sep,Kuwait,R,4.8,90 min,English
The Frankenstein Theory (2013), Horror| Sci-Fi,1-Mar-13,2013,Mar,USA,UNRATED,4.2,87 min,English
Kakaka Aabathin Ariguri (2017), Horror,15-Sep-17,2017,Sep,India,,3.2,,Tamil
Land Shark (2017), Action| Horror| Thriller,27-Jun-17,2017,Jun,USA,,2.5,80 min,English
12/12/12 (2012), Horror,4-Dec-12,2012,Dec,USA,R,1.8,86 min,English
Haunting of the Innocent (2014), Horror| Thriller,1-Feb-14,2014,Feb,USA,,2.4,97 min,English
Killbillies (2015), Action| Horror| Thriller,1-Jul-15,2015,Jul,Slovenia,,5.0,83 min,Slovenian
Axe to Grind (2015), Horror| Thriller,3-Feb-15,2015,Feb,USA,TV-MA,3.6,84 min,English
The Church (2017), Horror| Thriller,2017,2017,Jan,USA,,,87 min,English
Confessions (2016), Comedy| Drama| Horror| Music| Romance| Thriller,26-Jul-16,2016,Jul,USA,UNRATED,5.1,88 min,English
May I Kill U? (2012), Comedy| Horror| Thriller,11-Jan-13,2013,Jan,UK,UNRATED,5.6,87 min,English
The Midnight Game (2013), Horror| Thriller,2-Mar-13,2013,Mar,USA,R,4.8,74 min,English
Apocalypse Cult (2014), Horror| Mystery,17-Sep-14,2014,Sep,Australia,,4.7,84 min,English
Bad Blood (2012), Horror| Mystery| Romance| Thriller,26-Oct-12,2012,Oct,USA,R,5.7,,English
Elfie Hopkins: Cannibal Hunter (2012), Horror| Thriller,20-Apr-12,2012,Apr,UK,R,4.6,89 min,English
Hidden in the Woods (2012), Action| Drama| Horror| Thriller,6-Mar-14,2014,Mar,Chile,NOT RATED,4.6,95 min,Spanish
Dark Mountain (2013), Horror| Sci-Fi| Thriller,1-Aug-14,2014,Aug,USA,NOT RATED,4.4,82 min,English
Death Walks (2016), Comedy| Horror| Mystery| Thriller,1-Jul-16,2016,Jul,UK,,4.6,85 min,English
The Everglades Killings (2016), Horror,12-Nov-16,2016,Nov,USA,,3.6,80 min,English
Vampariah (2016), Horror,1-Feb-16,2016,Feb,USA,R,7.0,90 min,English
Dead Ringer (2015), Horror| Thriller,1-Feb-15,2015,Feb,USA,,,,English
The Dead Sea (2014), Action| Horror| Thriller,10-Apr-14,2014,Apr,USA,,5.3,,English
Isis Rising: Curse of the Lady Mummy (2013), Horror,18-Jan-13,2013,Jan,India,,1.8,81 min,English
Crazy Bitches (2014), Comedy| Horror,26-Jun-14,2014,Jun,USA,NOT RATED,4.5,100 min,English
Der Samurai (2014), Fantasy| Horror| Thriller,30-Oct-14,2014,Oct,Germany,UNRATED,5.7,79 min,German
Escape from Cannibal Farm (2017), Horror,9-Oct-17,2017,Oct,Sweden,,,100 min,English
Kill Zombie! (2012), Comedy| Horror,16-Feb-12,2012,Feb,Netherlands,TV-MA,4.9,90 min,Dutch
Scherzo Diabolico (2015), Comedy| Horror| Thriller,3-May-16,2016,May,USA,,5.4,91 min,Spanish
The Entity (2015), Horror,22-Jan-15,2015,Jan,Peru,NOT RATED,4.4,80 min,Spanish|Quechua
The Unkindness of Ravens (2016), Drama| Horror,27-Aug-16,2016,Aug,UK,,5.2,85 min,English
Cam2Cam (2014), Horror| Thriller,22-Aug-14,2014,Aug,USA,NOT RATED,3.7,91 min,English
